,s.no.,name,"cmp
rs.",p/e,"marcap
rs.cr.","divyld
%","npqtr
rs.cr.","qtrprofitvar
%","salesqtr
rs.cr.","qtrsalesvar
%","roce
%",tmp1,tmp2,tmp3,tmp4,tmp5,tmp6,tmp7,tmp8,tmp9,tmp10,L_Prc,H_Prc,B_Prc,H_Prc_date,B_Prc_date,Prof_marg_days,Prof%,C_Prof%
498,1475,Ashapuri Gold,80,79.37,199.98,0,0.93,27.4,50.34,155.27,5.49,,79.5,,,85,80,84,,,,79.5,85,79.5,2022-02-04,2022-02-04,0 days,6.918,0.629
499,1065,Hindustan Media,80.2,9.02,590.86,0,32.15,-9.89,199.72,22.84,5.75,,79.7,,,85.2,80.2,84.2,,,,79.7,85.2,79.7,2022-02-04,2022-02-04,0 days,6.901,0.627
500,1652,ICE Make Refrig.,80.55,28.09,126.48,1.47,1.49,-21.99,46.23,54.72,11.97,,80.05,,,85.55,80.55,84.55,,,,80.05,85.55,80.05,2022-02-04,2022-02-04,0 days,6.871,0.625
501,1937,Mahickra Chem.,80.7,21.08,65.54,0.31,,,,,14.86,,80.2,,,85.7,80.7,84.7,,,,80.2,85.7,80.2,2022-02-04,2022-02-04,0 days,6.858,0.623
502,1118,Bharat Wire,80.75,28.9,508.95,0,1.07,107.59,94.4,35.07,1.61,,80.25,,,85.75,80.75,84.75,,,,80.25,85.75,80.25,2022-02-04,2022-02-04,0 days,6.854,0.623
503,1982,Artefact Project,80.85,22.4,58.82,0,0.79,-30.7,5.92,-28.85,11.49,,80.35,,,85.85,80.85,84.85,,,,80.35,85.85,80.35,2022-02-04,2022-02-04,0 days,6.845,0.622
504,1450,Indag Rubber,81,18.43,212.61,2.96,0.92,-80.79,45.47,-0.92,9.01,,80.5,,,86,81,85,,,,80.5,86,80.5,2022-02-04,2022-02-04,0 days,6.832,0.621
505,1630,Medico Remedies,81,51.9,134.43,0,,,,,10.1,,80.5,,,86,81,85,,,,80.5,86,80.5,2022-02-04,2022-02-04,0 days,6.832,0.621
506,655,HBL Power System,81.15,52.38,2249.45,0.44,14.96,45.53,283.02,9.52,4.43,,80.65,,,86.15,81.15,85.15,,,,80.65,86.15,80.65,2022-02-04,2022-02-04,0 days,6.82,0.62
507,1674,Airo Lam,81.25,22.33,121.88,0,,,,,12.09,,80.75,,,86.25,81.25,85.25,,,,80.75,86.25,80.75,2022-02-04,2022-02-04,0 days,6.811,0.619
508,697,Geojit Fin. Ser.,81.55,12.83,1949.05,4.29,38.87,26.98,129.56,24.48,28.99,,81.05,,,86.55,81.55,85.55,,,,81.05,86.55,81.05,2022-02-04,2022-02-04,0 days,6.786,0.617
509,819,Moschip Tech.,81.9,304.74,1310.77,0,2.12,246.21,38.29,39.74,-0.43,,81.4,,,86.9,81.9,85.9,,,,81.4,86.9,81.4,2022-02-04,2022-02-04,0 days,6.757,0.614
510,1669,Kothari Ferment.,82,23.2,123.01,0,0.78,218.18,23.02,5.64,9.87,,81.5,,,87,82,86,,,,81.5,87,81.5,2022-02-04,2022-02-04,0 days,6.748,0.613
511,1824,Geekay Wires,82,14.15,85.69,5,1.81,-11.27,64.44,43.2,13.37,,81.5,,,87,82,86,,,,81.5,87,81.5,2022-02-04,2022-02-04,0 days,6.748,0.613
512,1833,Hardwyn India,82.1,54.37,83.74,0,0.11,,14.59,,17.07,,81.6,,,87.1,82.1,86.1,,,,81.6,87.1,81.6,2022-02-04,2022-02-04,0 days,6.74,0.613
513,1592,Lokesh Mach.,82.45,26.37,147.59,0,1.6,-21.57,49.3,35.37,8.03,,81.95,,,87.45,82.45,86.45,,,,81.95,87.45,81.95,2022-02-04,2022-02-04,0 days,6.711,0.61
514,1072,Saurashtra Cem.,82.5,9.97,579.42,2.1,-7.16,-160.99,177.55,40.33,20.85,,82,,,87.5,82.5,86.5,,,,82,87.5,82,2022-02-04,2022-02-04,0 days,6.707,0.61
515,1798,Rexnord Electr.,82.6,12.9,92.16,0,1.78,64.81,16.96,12.62,14.06,,82.1,,,87.6,82.6,86.6,,,,82.1,87.6,82.1,2022-02-04,2022-02-04,0 days,6.699,0.609
516,294,HFCL,82.9,33.87,11411.92,0.17,78.38,0.27,1215.21,-4.87,19.66,,82.4,,,87.9,82.9,86.9,,,,82.4,87.9,82.4,2022-02-04,2022-02-04,0 days,6.675,0.607
517,709,Time Technoplast,82.95,11.07,1875.89,0.84,50.29,105.6,914.55,22.97,8.77,,82.45,,,87.95,82.95,86.95,,,,82.45,87.95,82.45,2022-02-04,2022-02-04,0 days,6.671,0.606
518,1827,Prakash Woollen,83,24.05,85.17,0,0.65,-53.57,25.55,-6.68,9,,82.5,,,88,83,87,,,,82.5,88,82.5,2022-02-04,2022-02-04,0 days,6.667,0.606
519,1671,Mahamaya Steel,83,26.15,122.58,0,0.7,975,124.99,124.36,4.85,,82.5,,,88,83,87,,,,82.5,88,82.5,2022-02-04,2022-02-04,0 days,6.667,0.606
520,666,Indo Rama Synth.,83.2,8.04,2172.49,0,51.73,470.29,972.82,106.25,11.46,,82.7,,,88.2,83.2,87.2,,,,82.7,88.2,82.7,2022-02-04,2022-02-04,0 days,6.651,0.605
521,989,Nelcast,83.25,51.34,724.28,0.25,2.08,-66.07,232.22,25,4.58,,82.75,,,88.25,83.25,87.25,,,,82.75,88.25,82.75,2022-02-04,2022-02-04,0 days,6.647,0.604
522,925,SMC Global Sec.,83.25,6.28,941.84,1.43,50.33,138.19,286.53,21.45,16.47,,82.75,,,88.25,83.25,87.25,,,,82.75,88.25,82.75,2022-02-04,2022-02-04,0 days,6.647,0.604
523,896,Cerebra Integr.,83.4,44,1010.75,0,13.23,208.39,70.09,195.36,2.7,,82.9,,,88.4,83.4,87.4,,,,82.9,88.4,82.9,2022-02-04,2022-02-04,0 days,6.634,0.603
524,1307,Yash Pakka,83.45,8.83,294.06,1.19,10.51,230.5,70.47,74.22,15.53,,82.95,,,88.45,83.45,87.45,,,,82.95,88.45,82.95,2022-02-04,2022-02-04,0 days,6.631,0.603
525,1263,Mawana Sugars,83.55,3.69,326.82,3.59,-18.05,37.43,336.12,-8.9,4.22,,83.05,,,88.55,83.55,87.55,,,,83.05,88.55,83.05,2022-02-04,2022-02-04,0 days,6.623,0.602
526,1689,Total Transport,83.55,18.14,119.53,0.91,2.25,-16.97,138.8,114.63,3.25,,83.05,,,88.55,83.55,87.55,,,,83.05,88.55,83.05,2022-02-04,2022-02-04,0 days,6.623,0.602
527,1491,Jullundur Motor,83.6,8.65,190.95,2.38,5.03,12.53,92.52,16.38,18.19,,83.1,,,88.6,83.6,87.6,,,,83.1,88.6,83.1,2022-02-04,2022-02-04,0 days,6.619,0.602
528,1990,Sky Industries,83.85,14.12,56.93,1.19,0.91,19.74,19.44,12.11,9.12,,83.35,,,88.85,83.85,87.85,,,,83.35,88.85,83.35,2022-02-04,2022-02-04,0 days,6.599,0.6
529,1835,Tamboli Capital,83.85,5.84,83.2,1.08,3.93,195.49,21.2,40.58,16.35,,83.35,,,88.85,83.85,87.85,,,,83.35,88.85,83.35,2022-02-04,2022-02-04,0 days,6.599,0.6
530,1436,GEE,83.95,14.22,218.17,0,3.35,4.69,81.98,27.56,10.28,,83.45,,,88.95,83.95,87.95,,,,83.45,88.95,83.45,2022-02-04,2022-02-04,0 days,6.591,0.599
531,1125,Ind-Swift Labs.,84,19.4,496.31,0,24.47,146.67,235.64,3.23,7.21,,83.5,,,89,84,88,,,,83.5,89,83.5,2022-02-04,2022-02-04,0 days,6.587,0.599
532,1826,Global Education,84,12.98,85.51,2.39,4.33,104.25,12.87,61.08,11.39,,83.5,,,89,84,88,,,,83.5,89,83.5,2022-02-04,2022-02-04,0 days,6.587,0.599
533,711,Sundaram Fin.Hol,84,16.18,1865.05,0.6,19.29,0,14.41,14.09,0.71,,83.5,,,89,84,88,,,,83.5,89,83.5,2022-02-04,2022-02-04,0 days,6.587,0.599
534,902,Mangalore Chem.,84.25,10.12,998.51,1.18,31.07,3783.75,761.7,132.88,10.42,,83.75,,,89.25,84.25,88.25,,,,83.75,89.25,83.75,2022-02-04,2022-02-04,0 days,6.567,0.597
535,825,AVT Natural Prod,84.5,21.87,1286.93,0.83,14.11,55.23,134.74,7.45,18.75,,84,,,89.5,84.5,88.5,,,,84,89.5,84,2022-02-04,2022-02-04,0 days,6.548,0.595
536,1397,Mold-Tek Technol,84.7,20.57,239.23,1.66,3.66,12.62,23.42,8.68,24.41,,84.2,,,89.7,84.7,88.7,,,,84.2,89.7,84.2,2022-02-04,2022-02-04,0 days,6.532,0.594
537,298,CESC,84.85,8.3,11247.49,5.29,329,0.3,2826,1.51,13,,84.35,,,89.85,84.85,88.85,,,,84.35,89.85,84.35,2022-02-04,2022-02-04,0 days,6.52,0.593
538,1829,Shiva Global,84.95,6.46,84.89,0.58,1.49,65.56,188.17,25.3,12.94,,84.45,,,89.95,84.95,88.95,,,,84.45,89.95,84.45,2022-02-04,2022-02-04,0 days,6.513,0.592
539,1892,Parnax Lab,84.95,83.96,72.22,0,2.87,19.58,35.75,33.64,5.69,,84.45,,,89.95,84.95,88.95,,,,84.45,89.95,84.45,2022-02-04,2022-02-04,0 days,6.513,0.592
540,1340,Bedmutha Indus.,85.3,1.09,275.22,0,4.1,121.82,153.16,38.98,71.18,,84.8,,,90.3,85.3,89.3,,,,84.8,90.3,84.8,2022-02-04,2022-02-04,0 days,6.486,0.59
541,1442,Ruchira Papers,85.55,10.08,215.62,1.18,6.6,980,148.1,49.75,3.52,,85.05,,,90.55,85.55,89.55,,,,85.05,90.55,85.05,2022-02-04,2022-02-04,0 days,6.467,0.588
542,1325,SEL Mfg. Co,85.7,0.11,283.97,0,-37.23,31.99,107.19,58.8,-35.62,,85.2,,,90.7,85.7,89.7,,,,85.2,90.7,85.2,2022-02-04,2022-02-04,0 days,6.455,0.587
543,662,Genus Power,85.85,34.3,2210.75,0.58,14.77,-48.23,195.87,16.05,11.49,,85.35,,,90.85,85.85,89.85,,,,85.35,90.85,85.35,2022-02-04,2022-02-04,0 days,6.444,0.586
544,1509,Premier Polyfilm,86.15,14.29,180.46,0.58,3.38,131.51,56.8,61.32,17.75,,85.65,,,91.15,86.15,90.15,,,,85.65,91.15,85.65,2022-02-04,2022-02-04,0 days,6.421,0.584
545,1549,Nath Industries,86.35,8.37,164.07,0,0.39,-83.95,96.95,44.92,8.46,,85.85,,,91.35,86.35,90.35,,,,85.85,91.35,85.85,2022-02-04,2022-02-04,0 days,6.407,0.582
546,1300,Integra Engg.,86.75,35.23,297.09,0,2.6,24.4,27,46.82,16.02,,86.25,,,91.75,86.75,90.75,,,,86.25,91.75,86.25,2022-02-04,2022-02-04,0 days,6.377,0.58
547,601,DCB Bank,86.9,9.93,2699.71,0,64.94,-21.08,869.27,-1.05,6.99,,86.4,,,91.9,86.9,90.9,,,,86.4,91.9,86.4,2022-02-04,2022-02-04,0 days,6.366,0.579
548,1961,Standard Surfact,86.95,23.01,62.14,0,0.7,11.11,32.48,42.71,10.9,,86.45,,,91.95,86.95,90.95,,,,86.45,91.95,86.45,2022-02-04,2022-02-04,0 days,6.362,0.578
549,1435,Lords Chloro,87,54.44,218.81,0,2.12,355.42,47.23,14.8,1.09,,86.5,,,92,87,91,,,,86.5,92,86.5,2022-02-04,2022-02-04,0 days,6.358,0.578
550,1749,Warren Tea,87,100.93,103.96,0,4.36,-77.99,41.47,-21.95,4.32,,86.5,,,92,87,91,,,,86.5,92,86.5,2022-02-04,2022-02-04,0 days,6.358,0.578
551,1769,Globalspace Tech,87.1,28.25,99.78,0.23,0,-100,1.65,-74.85,19.18,,86.6,,,92.1,87.1,91.1,,,,86.6,92.1,86.6,2022-02-04,2022-02-04,0 days,6.351,0.577
552,2016,National Plastic,87.2,11.37,53.02,0,1.4,191.67,38.36,60.23,8.28,,86.7,,,92.2,87.2,91.2,,,,86.7,92.2,86.7,2022-02-04,2022-02-04,0 days,6.344,0.577
553,1422,Banas Finance,87.95,4.56,225.58,0,35.18,3990.7,33.63,576.66,10.03,,87.45,,,92.95,87.95,91.95,,,,87.45,92.95,87.45,2022-02-04,2022-02-04,0 days,6.289,0.572
554,1897,Maris Spinners,88,4.91,71.91,1.12,4.14,1062.79,45.85,70.45,21.28,,87.5,,,93,88,92,,,,87.5,93,87.5,2022-02-04,2022-02-04,0 days,6.286,0.571
555,1527,Cambridge Tech.,88,30.82,172.76,0,3.29,-48.03,27.85,26.19,10.1,,87.5,,,93,88,92,,,,87.5,93,87.5,2022-02-04,2022-02-04,0 days,6.286,0.571
556,1763,Nettlinx,88.1,35.93,100.96,0,3.57,569.74,16.39,129.55,4.6,,87.6,,,93.1,88.1,92.1,,,,87.6,93.1,87.6,2022-02-04,2022-02-04,0 days,6.279,0.571
557,1320,Modison Metals,88.3,12.47,286.52,1.69,5.47,-44.34,95.62,39.71,20.33,,87.8,,,93.3,88.3,92.3,,,,87.8,93.3,87.8,2022-02-04,2022-02-04,0 days,6.264,0.569
558,333,Netwrk.18 Media,88.4,50.06,9255,0,97.1,49.8,1657.43,16.52,19.85,,87.9,,,93.4,88.4,92.4,,,,87.9,93.4,87.9,2022-02-04,2022-02-04,0 days,6.257,0.569
559,1812,Ganges Securitie,88.6,12.2,88.63,0,7.76,-22.79,14.53,-17.58,4.27,,88.1,,,93.6,88.6,92.6,,,,88.1,93.6,88.1,2022-02-04,2022-02-04,0 days,6.243,0.568
560,1498,Alpa Laboratorie,88.6,13.43,186.41,0,5.72,145.49,26.26,13.63,7.45,,88.1,,,93.6,88.6,92.6,,,,88.1,93.6,88.1,2022-02-04,2022-02-04,0 days,6.243,0.568
561,765,D B Corp,88.7,9.21,1567.88,3.4,86.52,-12.64,545.52,10.36,10.1,,88.2,,,93.7,88.7,92.7,,,,88.2,93.7,88.2,2022-02-04,2022-02-04,0 days,6.236,0.567
562,1041,BIGBLOC Const.,88.75,52.1,628.27,0.11,4.24,166.67,52.75,52.24,8.09,,88.25,,,93.75,88.75,92.75,,,,88.25,93.75,88.25,2022-02-04,2022-02-04,0 days,6.232,0.567
563,1808,Parshva Enterpr.,89.11,497.56,89.56,0,0.17,,10.04,,3.61,,88.61,,,94.11,89.11,93.11,,,,88.61,94.11,88.61,2022-02-04,2022-02-04,0 days,6.207,0.564
564,769,Dolat Investment,89.15,8.71,1562.2,0.22,33.75,38.38,56.57,72.52,60.45,,88.65,,,94.15,89.15,93.15,,,,88.65,94.15,88.65,2022-02-04,2022-02-04,0 days,6.204,0.564
565,1359,Maheshwari Logi.,89.25,12.87,264.14,0.56,5,54.8,250.85,81.64,11.58,,88.75,,,94.25,89.25,93.25,,,,88.75,94.25,88.75,2022-02-04,2022-02-04,0 days,6.197,0.563
566,1057,T B Z,89.7,12.74,598.59,2.77,7.36,-49.31,455.88,66.88,10.71,,89.2,,,94.7,89.7,93.7,,,,89.2,94.7,89.2,2022-02-04,2022-02-04,0 days,6.166,0.561
567,1585,Suryalak. Cott.,89.8,8.99,149.72,0,7.71,5140,197.29,26.61,3.43,,89.3,,,94.8,89.8,93.8,,,,89.3,94.8,89.3,2022-02-04,2022-02-04,0 days,6.159,0.56
568,663,JTEKT India,89.95,44.51,2199.12,0.17,9.51,17.55,385.13,8.59,3.79,,89.45,,,94.95,89.95,93.95,,,,89.45,94.95,89.45,2022-02-04,2022-02-04,0 days,6.149,0.559
569,722,NACL Industries,90,24.74,1784.77,0.44,15.47,70,399.76,51,16.79,,89.5,,,95,90,94,,,,89.5,95,89.5,2022-02-04,2022-02-04,0 days,6.145,0.559
570,1633,Aarvi Encon,90.05,12.39,133.14,1.68,3.48,130.46,64.43,47.54,12.29,,89.55,,,95.05,90.05,94.05,,,,89.55,95.05,89.55,2022-02-04,2022-02-04,0 days,6.142,0.558
571,1777,Delta Manufact.,90.05,227.22,97.71,0,-0.16,95.34,34.73,35.77,-2.61,,89.55,,,95.05,90.05,94.05,,,,89.55,95.05,89.55,2022-02-04,2022-02-04,0 days,6.142,0.558
572,779,Sutlej Textiles,90.25,11.69,1478.57,0.34,36.52,217.01,813.21,48.01,2.07,,89.75,,,95.25,90.25,94.25,,,,89.75,95.25,89.75,2022-02-04,2022-02-04,0 days,6.128,0.557
573,1272,20 Microns,90.3,9.9,318.64,0,11.64,106.02,161.03,7.53,15.27,,89.8,,,95.3,90.3,94.3,,,,89.8,95.3,89.8,2022-02-04,2022-02-04,0 days,6.125,0.557
574,970,Kuantum Papers,90.5,34.58,789.76,0,10.51,285.04,201.11,192.86,0.34,,90,,,95.5,90.5,94.5,,,,90,95.5,90,2022-02-04,2022-02-04,0 days,6.111,0.556
575,806,Guj Inds. Power,90.75,8.33,1372.62,2.97,53.36,17.09,322.08,-4.23,9.55,,90.25,,,95.75,90.75,94.75,,,,90.25,95.75,90.25,2022-02-04,2022-02-04,0 days,6.094,0.554
576,1766,MANGALAM SEEDS,91,18.5,99.92,0,0.71,-57.49,6.96,18.57,17.38,,90.5,,,96,91,95,,,,90.5,96,90.5,2022-02-04,2022-02-04,0 days,6.077,0.552
577,1774,Ludlow Jute,91,7.36,98.04,0,0.93,-2.11,148.82,23.7,2.82,,90.5,,,96,91,95,,,,90.5,96,90.5,2022-02-04,2022-02-04,0 days,6.077,0.552
578,1714,Metroglobal,91,12.25,112.24,2.19,4.03,88.32,34.67,-65.08,2.48,,90.5,,,96,91,95,,,,90.5,96,90.5,2022-02-04,2022-02-04,0 days,6.077,0.552
579,1792,Aspira Pathlab,91.05,33.12,93.72,0,0.14,-89.47,3.49,-35.13,19.77,,90.55,,,96.05,91.05,95.05,,,,90.55,96.05,90.55,2022-02-04,2022-02-04,0 days,6.074,0.552
580,1357,GPT Infraproject,91.1,12.04,264.98,2.77,5.9,19.43,159.56,-6.48,14.42,,90.6,,,96.1,91.1,95.1,,,,90.6,96.1,90.6,2022-02-04,2022-02-04,0 days,6.071,0.552
581,1063,Bannari Amm Spg.,91.25,11.86,591.74,0,17.7,327.8,317.9,35.36,4.68,,90.75,,,96.25,91.25,95.25,,,,90.75,96.25,90.75,2022-02-04,2022-02-04,0 days,6.061,0.551
582,931,Timex Group,91.4,65.64,922.69,0,11.35,417.93,87.99,194.87,-14.39,,90.9,,,96.4,91.4,95.4,,,,90.9,96.4,90.9,2022-02-04,2022-02-04,0 days,6.051,0.55
583,590,Usha Martin,91.55,12.65,2789.89,0,57.55,59.2,594.06,14.6,12.67,,91.05,,,96.55,91.55,95.55,,,,91.05,96.55,91.05,2022-02-04,2022-02-04,0 days,6.041,0.549
584,2037,United Van Der,91.65,26.42,51.24,0,0.43,219.44,2.63,36.98,6.11,,91.15,,,96.65,91.65,95.65,,,,91.15,96.65,91.15,2022-02-04,2022-02-04,0 days,6.034,0.549
585,1607,Pashupati Cotsp.,91.85,26.44,140.38,0.82,,,,,9.11,,91.35,,,96.85,91.85,95.85,,,,91.35,96.85,91.35,2022-02-04,2022-02-04,0 days,6.021,0.547
586,1800,Darshan Orna,91.85,36.91,91.9,0,0.24,140,2.68,495.56,-0.09,,91.35,,,96.85,91.85,95.85,,,,91.35,96.85,91.35,2022-02-04,2022-02-04,0 days,6.021,0.547
587,1796,Vaxtex Cotfab,92.5,515.93,92.87,0,,,,,6.68,,92,,,97.5,92.5,96.5,,,,92,97.5,92,2022-02-04,2022-02-04,0 days,5.978,0.543
588,1757,Arvee Laborat.,92.6,31.68,102.04,0,0.73,247.62,10.7,12.04,14.92,,92.1,,,97.6,92.6,96.6,,,,92.1,97.6,92.1,2022-02-04,2022-02-04,0 days,5.972,0.543
589,2026,Polymechplast Ma,92.9,17.52,52.05,1.07,0.4,90.48,13.1,201.84,19,,92.4,,,97.9,92.9,96.9,,,,92.4,97.9,92.4,2022-02-04,2022-02-04,0 days,5.952,0.541
590,958,Saint-Gob. Sekur,93.05,39.61,847.75,1.08,28.55,185.85,38.02,52.87,8.43,,92.55,,,98.05,93.05,97.05,,,,92.55,98.05,92.55,2022-02-04,2022-02-04,0 days,5.943,0.54
591,1942,Sarthak Industri,93.15,33.12,64.92,0,0.41,-58.16,43.82,8.79,10.53,,92.65,,,98.15,93.15,97.15,,,,92.65,98.15,92.65,2022-02-04,2022-02-04,0 days,5.936,0.54
592,727,Dwarikesh Sugar,93.6,12.21,1762.52,1.32,28.88,286.61,601.35,57.78,13.31,,93.1,,,98.6,93.6,97.6,,,,93.1,98.6,93.1,2022-02-04,2022-02-04,0 days,5.908,0.537
593,2021,Party Cruisers,93.75,134.62,52.5,0,,,,,4.35,,93.25,,,98.75,93.75,97.75,,,,93.25,98.75,93.25,2022-02-04,2022-02-04,0 days,5.898,0.536
594,801,Welspun Enterp,93.95,13.87,1400.04,1.62,12.55,-67.09,241.58,-42.93,9.2,,93.45,,,98.95,93.95,97.95,,,,93.45,98.95,93.45,2022-02-04,2022-02-04,0 days,5.886,0.535
595,625,Wardwizard Inno.,93.95,418.45,2464.71,0.05,2.87,287.84,58.11,444.1,14.96,,93.45,,,98.95,93.95,97.95,,,,93.45,98.95,93.45,2022-02-04,2022-02-04,0 days,5.886,0.535
596,1744,Parin Furniture,94,22.77,104.51,0,,,,,13.47,,93.5,,,99,94,98,,,,93.5,99,93.5,2022-02-04,2022-02-04,0 days,5.882,0.535
597,1500,Axita Cotton,94.4,49.77,185.55,0,,,,,25.71,,93.9,,,99.4,94.4,98.4,,,,93.9,99.4,93.9,2022-02-04,2022-02-04,0 days,5.857,0.532
598,2022,Kovil. Lak. Rol.,94.45,8.21,52.33,1.59,2.41,58.55,73.09,27.29,16.4,,93.95,,,99.45,94.45,98.45,,,,93.95,99.45,93.95,2022-02-04,2022-02-04,0 days,5.854,0.532
599,674,Navneet Educat.,94.45,35.2,2136.53,1.04,70.78,120.77,233.18,89.27,5.29,,93.95,,,99.45,94.45,98.45,,,,93.95,99.45,93.95,2022-02-04,2022-02-04,0 days,5.854,0.532
600,1338,Texmo Pipes,94.55,16.67,276.02,0,4.85,227.7,129.25,58.98,9.13,,94.05,,,99.55,94.55,98.55,,,,94.05,99.55,94.05,2022-02-04,2022-02-04,0 days,5.848,0.532
601,1653,IZMO,94.6,7.4,126.37,0,2.02,-83.18,30.07,5.58,11.98,,94.1,,,99.6,94.6,98.6,,,,94.1,99.6,94.1,2022-02-04,2022-02-04,0 days,5.845,0.531
602,1453,Godha Cabcon,95.1,224.67,211.19,0,0.36,162.07,13.53,3121.43,0.13,,94.6,,,100.1,95.1,99.1,,,,94.6,100.1,94.6,2022-02-04,2022-02-04,0 days,5.814,0.529
603,1781,SPS Finquest,95.2,12.67,96.51,0,,,,,25.86,,94.7,,,100.2,95.2,99.2,,,,94.7,100.2,94.7,2022-02-04,2022-02-04,0 days,5.808,0.528
604,1539,Lagnam Spintex,95.35,6.03,168.48,0.52,9.4,107.05,90.95,45.03,8.41,,94.85,,,100.35,95.35,99.35,,,,94.85,100.35,94.85,2022-02-04,2022-02-04,0 days,5.799,0.527
605,517,Star Cement,95.45,15.81,3857.88,0,43.82,2604,554.89,31.04,13.68,,94.95,,,100.45,95.45,99.45,,,,94.95,100.45,94.95,2022-02-04,2022-02-04,0 days,5.793,0.527
606,1953,Banaras Beads,95.6,23.86,63.45,2.07,0.58,-3.33,5.95,-4.19,6.23,,95.1,,,100.6,95.6,99.6,,,,95.1,100.6,95.1,2022-02-04,2022-02-04,0 days,5.783,0.526
607,1929,Keynote Finan.,95.6,4.24,67.13,1.07,5.4,70.35,9.42,38.12,13.93,,95.1,,,100.6,95.6,99.6,,,,95.1,100.6,95.1,2022-02-04,2022-02-04,0 days,5.783,0.526
608,1444,Intense Tech.,95.75,11.65,215.02,0.41,3.37,7.67,17.26,11.28,32.07,,95.25,,,100.75,95.75,99.75,,,,95.25,100.75,95.25,2022-02-04,2022-02-04,0 days,5.774,0.525
609,586,PTC India,95.85,5.99,2837.26,7.89,177.11,-2.95,5472.83,-8.86,10.33,,95.35,,,100.85,95.85,99.85,,,,95.35,100.85,95.35,2022-02-04,2022-02-04,0 days,5.768,0.524
610,1682,Maximus Interna.,96.05,36.61,120.75,0,1.05,-22.22,15.47,11.38,19.75,,95.55,,,101.05,96.05,100.05,,,,95.55,101.05,95.55,2022-02-04,2022-02-04,0 days,5.756,0.523
611,1097,Menon Bearings,96.3,21.94,539.67,2.05,5.88,29.8,48.52,32.32,22.36,,95.8,,,101.3,96.3,100.3,,,,95.8,101.3,95.8,2022-02-04,2022-02-04,0 days,5.741,0.522
612,900,Bliss GVS Pharma,96.6,606.99,1001.53,0.52,-50.11,-296.13,216.26,31.82,12.24,,96.1,,,101.6,96.6,100.6,,,,96.1,101.6,96.1,2022-02-04,2022-02-04,0 days,5.723,0.52
613,987,Satin Creditcare,97,31.01,727.69,0,40.26,149.12,316.24,7.78,8.45,,96.5,,,102,97,101,,,,96.5,102,96.5,2022-02-04,2022-02-04,0 days,5.699,0.518
614,1517,Servotech Power,97.15,59.91,177.89,0.2,1.06,23.26,41.42,66.68,,,96.65,,,102.15,97.15,101.15,,,,96.65,102.15,96.65,2022-02-04,2022-02-04,0 days,5.691,0.517
615,568,IIFL Securities,97.75,9.78,2970.2,3.04,86.2,70.39,335.91,67.07,25.29,,97.25,,,102.75,97.75,101.75,,,,97.25,102.75,97.25,2022-02-04,2022-02-04,0 days,5.656,0.514
616,465,Guj Pipavav Port,97.85,22.55,4730.48,4.61,45.58,-2.63,194.7,6.59,15.75,,97.35,,,102.85,97.85,101.85,,,,97.35,102.85,97.35,2022-02-04,2022-02-04,0 days,5.65,0.514
617,1734,Dhabriya Poly.,98.1,21.23,106.19,0,1.56,31.09,39.86,37.92,10.69,,97.6,,,103.1,98.1,102.1,,,,97.6,103.1,97.6,2022-02-04,2022-02-04,0 days,5.635,0.512
618,592,Ashoka Buildcon,99,7.09,2779.14,0,79.94,9.12,1264.87,6.35,20.07,,98.5,,,104,99,103,,,,98.5,104,98.5,2022-02-04,2022-02-04,0 days,5.584,0.508
619,1724,Prima Plastics,99.2,8.25,109.13,1.49,2.62,-51.57,34.35,11.45,15.43,,98.7,,,104.2,99.2,103.2,,,,98.7,104.2,98.7,2022-02-04,2022-02-04,0 days,5.572,0.507
620,1066,Kothari Petroche,99.2,17.48,583.74,0,9.05,14.27,105.53,67.88,27.3,,98.7,,,104.2,99.2,103.2,,,,98.7,104.2,98.7,2022-02-04,2022-02-04,0 days,5.572,0.507
621,1523,Diksat Transworl,100.15,836.62,175.69,0,,,,,1.15,,99.65,,,105.15,100.15,104.15,,,,99.65,105.15,99.65,2022-02-04,2022-02-04,0 days,5.519,0.502
622,1155,Marathon Nextgen,100.25,61.81,461.15,0,3.6,-16.67,37.39,53.68,6.06,,99.75,,,105.25,100.25,104.25,,,,99.75,105.25,99.75,2022-02-04,2022-02-04,0 days,5.514,0.501
623,1330,Indsil Hydro,100.9,46.59,280.41,0,6.56,360.32,55.93,377.63,2.92,,100.4,,,105.9,100.9,104.9,,,,100.4,105.9,100.4,2022-02-04,2022-02-04,0 days,5.478,0.498
624,1943,Ambani Organics,100.9,40.82,64.91,0,,,,,12.29,,100.4,,,105.9,100.9,104.9,,,,100.4,105.9,100.4,2022-02-04,2022-02-04,0 days,5.478,0.498
625,1124,Kriti Industries,100.95,17.96,500.71,0.2,4.08,-77.01,118.89,-46.18,31.57,,100.45,,,105.95,100.95,104.95,,,,100.45,105.95,100.45,2022-02-04,2022-02-04,0 days,5.475,0.498
626,613,Alembic,101,7.94,2593.5,0.2,120.16,24.15,19.51,16.41,0.69,,100.5,,,106,101,105,,,,100.5,106,100.5,2022-02-04,2022-02-04,0 days,5.473,0.498
627,202,Federal Bank,101.3,11.13,21294.98,0.69,539.77,29.09,3603.98,-0.01,5.59,,100.8,,,106.3,101.3,105.3,,,,100.8,106.3,100.8,2022-02-04,2022-02-04,0 days,5.456,0.496
